device_class,device_name,file_urls,files,firmware_version,release_date,vendor
Router,M7350,https://static.tp-link.com/upload/firmware/2022/202211/20221130/M7350(EU)_V8_221101.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202211/20221130/M7350(EU)_V8_221101.zip', 'path': 'M7350(EU)_V8_221101.zip', 'checksum': '34c2341467a64ffd7aa03e841949aaab', 'status': 'uptodate'}]",V8,30-11-2022,TP-Link
AP,Deco X50-4G,https://static.tp-link.com/upload/firmware/2022/202206/20220621/Deco X50-4G(EU)_V1_1.0.0_220526.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202206/20220621/Deco%20X50-4G(EU)_V1_1.0.0_220526.zip', 'path': 'Deco%20X50-4G(EU)_V1_1.0.0_220526.zip', 'checksum': '54ab79a8aefe7519d8ba72d1f41fac99', 'status': 'uptodate'}]",V1,21-06-2022,TP-Link
PLC Adapter,TL-PA411KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V4,27-06-2022,TP-Link
PLC Adapter,TL-PA4010P TKIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V3,27-06-2022,TP-Link
PLC Adapter,TL-PA4010P KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V5,27-06-2022,TP-Link
PLC Adapter,TL-WPA4220,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V5,27-06-2022,TP-Link
PLC Adapter,TL-PA4020P KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V4,27-06-2022,TP-Link
PLC Adapter,TL-PA4022P KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V4,27-06-2022,TP-Link
PLC Adapter,TL-PA4010 KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V3,27-06-2022,TP-Link
PLC Adapter,TL-WPA4226 KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V5,27-06-2022,TP-Link
